05_V_A_Ang,05_V_A_Mag,05_V_B_Ang,05_V_B_Mag,05_V_C_Ang,05_V_C_Mag,05_V_D_Ang,05_V_D_Mag
-0.47631,1.27E+05,-0.47631,1.27E+05,-0.47631,1.27E+05,-0.47631,1.27E+05
-0.47538,1.27E+05,-0.47538,1.27E+05,-0.47538,1.27E+05,-0.47538,1.27E+04
-0.47441,1.27E+05,-0.47441,1.27E+05,-0.47441,1.27E+05,-0.47441,1.27E+05
-0.47324,1.27E+05,-0.47324,1.27E+05,-0.47324,1.27E+05,-0.47324,1.27E+05
-0.47182,1.27E+05,-0.47182,1.27E+05,-0.47182,1.27E+05,-0.47182,1.27E+05
-0.47026,1.27E+05,-0.47026,1.27E+05,-0.47026,1.27E+05,-0.47026,1.27E+05
-0.46884,1.27E+05,-0.46884,1.27E+05,-0.46884,1.27E+05,-0.46884,1.27E+05
-0.46764,1.27E+05,-0.46764,1.27E+05,-0.46764,1.27E+05,-0.46764,1.27E+05
-0.46659,1.27E+05,-0.46659,1.27E+05,-0.46659,1.27E+05,-0.46659,1.27E+05
-0.46553,1.27E+05,-0.46553,1.27E+05,-0.46553,1.27E+05,-0.46553,1.27E+05
-0.46432,1.27E+05,-0.46432,1.27E+05,-0.46432,1.27E+05,-0.46432,1.27E+05
-0.46306,1.27E+05,-0.46306,1.27E+05,-0.46306,1.27E+05,-0.46306,1.27E+05
-0.46189,1.27E+05,-0.46189,1.27E+05,-0.46189,1.27E+05,-0.46189,1.27E+05
-0.46082,1.27E+05,-0.46082,1.27E+05,-0.46082,1.27E+05,-0.46082,1.27E+05
-0.4598,1.27E+05,-0.4598,1.27E+05,-0.4598,1.27E+05,-0.4598,1.27E+05
-0.45869,1.27E+05,-0.45869,1.27E+05,-0.45869,1.27E+05,-0.45869,1.27E+05
-0.45743,1.27E+05,-0.45743,1.27E+05,-0.45743,1.27E+05,-0.45743,1.27E+05
-0.4561,1.27E+05,-0.4561,1.27E+05,-0.4561,1.27E+05,-0.4561,1.27E+05
-0.45474,1.27E+05,-0.45474,1.27E+05,-0.45474,1.27E+05,-0.45474,1.27E+05
-0.45345,1.27E+05,-0.45345,1.27E+05,-0.45345,1.27E+05,-0.45345,1.27E+05
-0.45221,1.27E+05,-0.45221,1.27E+05,-0.45221,1.27E+05,-0.45221,1.27E+05
-0.45098,1.27E+05,-0.45098,1.27E+05,-0.45098,1.27E+05,-0.45098,1.27E+05
-0.44985,1.27E+05,-0.44985,1.27E+05,-0.44985,1.27E+05,-0.44985,1.27E+05
-0.44877,1.27E+05,-0.44877,1.27E+05,-0.44877,1.27E+05,-0.44877,1.27E+05
-0.44765,1.27E+05,-0.44765,1.27E+05,-0.44765,1.27E+05,-0.44765,1.27E+05
-0.44655,1.27E+05,-0.44655,1.27E+05,-0.44655,1.27E+05,-0.44655,1.27E+05
-0.44544,1.27E+05,-0.44544,1.27E+05,-0.44544,1.27E+05,-0.44544,1.27E+05
-0.44428,1.27E+05,-0.44428,1.27E+05,-0.44428,1.27E+05,-0.44428,1.27E+05
-0.44313,1.27E+05,-0.44313,1.27E+05,-0.44313,1.27E+05,-0.44313,1.27E+05
-0.44181,1.27E+05,-0.44181,1.27E+05,-0.44181,1.27E+05,-0.44181,1.27E+05
-0.44033,1.27E+05,-0.44033,1.27E+05,-0.44033,1.27E+05,-0.44033,1.27E+05
-0.4388,1.27E+05,-0.4388,1.27E+05,-0.4388,1.27E+05,-0.4388,1.27E+05
-0.43728,1.27E+05,-0.43728,1.27E+05,-0.43728,1.27E+05,-0.43728,1.27E+05
-0.43592,1.27E+05,-0.43592,1.27E+05,-0.43592,1.27E+05,-0.43592,1.27E+05
-0.43478,1.27E+05,-0.43478,1.27E+05,-0.43478,1.27E+05,-0.43478,1.27E+05
-0.43374,1.27E+05,-0.43374,1.27E+05,-0.43374,1.27E+05,-0.43374,1.27E+05
-0.43273,1.27E+05,-0.43273,1.27E+05,-0.43273,1.27E+05,-0.43273,1.27E+05
-0.43163,1.27E+05,-0.43163,1.27E+05,-0.43163,1.27E+05,-0.43163,1.27E+05
-0.43028,1.27E+05,-0.43028,1.27E+05,-0.43028,1.27E+05,-0.43028,1.27E+05
-0.42879,1.27E+05,-0.42879,1.27E+05,-0.42879,1.27E+05,-0.42879,1.27E+05
-0.42729,1.27E+05,-0.42729,1.27E+05,-0.42729,1.27E+05,-0.42729,1.27E+05
-0.4259,1.27E+05,-0.4259,1.27E+05,-0.4259,1.27E+05,-0.4259,1.27E+05
